codingre,descrip,familia,unidad,empaque,equivale,inventa1,stockmax,stockmin,ultcosto,costoprome,impuesto,pedido,status
"TEOO","ORENDAIN OLLITAS","TEQUI","ML","",750.00,0.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"WHD2","DALMORE 12","WHISK","ML","",700.00,1.10,0.00,0.00,922.97,461.99,16.00,0.000,""
"WHG1","GLENFIDICH 15","WHISK","ML","",750.00,3.02,0.00,0.00,918.10,459.55,16.00,0.000,""
"WHNO","NOMAD","WHISK","ML","",700.00,1.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"WHM5","MACALLAN 15","WHISK","ML","",700.00,1.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"WHMA","MACALLAN AMBER","WHISK","ML","",700.00,1.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"WHMK","MACALLAN RARE CASK","WHISK","ML","",700.00,0.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"MEPM","PELOTON DE LA MUERTE","MEZCA","ML","",700.00,2.08,0.00,0.00,276.81,207.86,16.00,0.000,""
"CEBU","BUDWISER","CERVE","PZ","",24.00,24.88,0.00,0.00,11.75,6.37,16.00,0.000,""
"MECR","CREYENTE MEZCAL","MEZCA","ML","",700.00,2.15,0.00,0.00,498.28,249.64,16.00,0.000,""
"GICT","CITADELLE","GINEB","","",750.00,1.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"ME7D","SIETE MISTERIOS DOBA","MEZCA","ML","",750.00,1.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"ME7E","SIETE MISTERIOS ESPADIN","MEZCA","ML","",750.00,1.16,0.00,0.00,1.00,0.00,16.00,0.000,""
"ROF8","FLOR DE CANA 18","REFRE","ML","",700.00,0.00,0.00,0.00,1.00,0.00,0.00,0.000,""
"GIBM","BOODLES MULBERRY","GINEB","ML","",750.00,0.00,0.00,0.00,1.00,0.00,0.00,0.000,""
