codingre,descrip,familia,unidad,empaque,equivale,inventa1,stockmax,stockmin,ultcosto,costoprome,impuesto,pedido,status
"CESA","SAGA","CERVE","PZ","",355.00,0.00,10.00,0.00,1.00,0.00,16.00,0.000,""
"CESE","STELLA","CERVE","PZ","",24.00,0.00,10.00,0.00,16.38,27.76,16.00,0.000,""
"CESL","SOL LIGTH","CERVE","PZ","",355.00,0.00,10.00,0.00,5.00,0.00,0.00,0.000,""
"CESO","SOL CERVEZA","CERVE","PZ","",355.00,0.00,10.00,0.00,7.25,7.30,0.00,0.000,""
"CEST","STRONGBOW GOLD","CERVE","PZ","",355.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"CEVI","VICTORIA","CERVE","PZ","",355.00,0.00,10.00,0.00,8.69,8.70,16.00,0.000,""
"CEXY","XY REGEL","CERVE","PZ","",355.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"INDI","INDIO PREMIER BOT 325 MLS","CERVE","PP","",3900.00,0.00,10.00,0.00,7.24,7.39,0.00,0.000,""
"TELI","TECATE LIGHT","CERVE","PZ","",355.00,0.00,10.00,0.00,7.25,7.26,0.00,0.000,""
"XXAM","XX AMBAR 24/2 325 MLS","CERVE","PZ","",7800.00,0.00,10.00,0.00,8.44,20.63,0.00,0.000,""
"XXLA","XX LAGGER 1X24 BOT 325ML","CERVE","PZ","",7800.00,0.00,10.00,0.00,8.44,8.44,0.00,0.000,""
"CHBB","MOET BABY BRUT","CHAMP","ML","",200.00,0.00,10.00,0.00,251.42,252.94,0.00,0.000,""
"CHBN","MOET BABY NECTAR","CHAMP","ML","",355.00,0.00,10.00,0.00,300.00,0.00,0.00,0.000,""
"CHBR","MOET BABY ROSE","CHAMP","ML","",355.00,0.00,10.00,0.00,300.00,0.00,0.00,0.000,""
"CHDL","DOM PERIGNON LUMINUS","CHAMP","ML","",750.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"CHDM","DOM PERIGNON","CHAMP","ML","",750.00,0.00,10.00,0.00,3089.14,2118.93,16.00,0.000,""
"CHDR","DOM PERIGNON ROSE","CHAMP","ML","",750.00,0.00,10.00,0.00,700.00,0.00,0.00,0.000,""
"CHJB","JOUDE BLASON ROSE","CHAMP","ML","",750.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"CHM1","MOET BRUT 1.5 LTS","CHAMP","ML","",1500.00,0.00,10.00,0.00,1383.34,1190.68,0.00,0.000,""
"CHM3","MOET CHANDON 3 LTS","CHAMP","ML","",3000.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
